zip,Median Price 2008,Median Price/sqft 2008,Median sqft 2008,Sales 2008
95603,285000.0,207.0,1255.0,3
95608,248567.0,182.0,1472.0,20
95610,219000.0,123.0,1410.0,7
95614,300000.0,206.0,1457.0,1
95619,216033.0,166.0,1300.0,1
95621,168646.0,143.0,1268.0,28
95623,247000.0,188.0,1332.0,2
95624,229000.0,139.0,1721.0,31
95626,132732.0,108.0,1235.0,4
95628,230000.0,175.0,1450.0,9
95630,441000.0,178.0,2185.0,15
95632,214674.0,137.0,1514.0,20
95635,395000.0,139.0,2846.0,1
95648,268250.0,164.0,1535.0,6
95650,567000.0,369.0,1476.0,2
95655,237800.0,114.0,2093.0,1
95660,129000.0,117.0,1152.0,21
95661,377750.0,177.0,2162.0,8
95662,252155.0,160.0,1574.0,11
95663,506688.0,384.0,1320.0,1
95667,350000.0,226.0,1929.0,5
95670,233848.0,153.0,1486.0,20
95673,173000.0,147.0,1182.0,12
95677,257548.0,173.0,1486.0,2
95678,233750.0,162.0,1628.0,14
95682,399000.0,198.0,2016.0,1
95683,397750.0,134.0,2963.0,2
95690,380000.0,220.0,1727.0,1
95691,147000.0,166.0,884.0,1
95693,635376.0,179.0,3764.0,4
95722,230000.0,189.0,1216.0,1
95726,265000.0,192.0,1320.0,3
95742,357550.0,109.0,3398.0,4
95746,676200.0,233.0,2896.0,3
95747,273500.0,168.0,1473.0,6
95757,335750.0,140.0,2658.0,34
95758,220500.0,139.0,1596.0,42
95762,262500.0,173.0,1808.0,3
95765,358188.0,181.0,1790.0,6
95811,403474.0,284.0,1482.0,2
95814,391000.0,239.0,1788.0,3
95815,93070.0,85.0,1022.0,18
95816,245000.0,193.0,1269.0,3
95817,127059.0,116.0,1093.0,7
95818,292024.0,237.0,1126.0,7
95819,412500.0,283.0,1595.0,4
95820,122588.0,115.0,1028.0,22
95821,209500.0,135.0,1368.0,6
95822,128375.0,112.0,1142.0,24
95823,168000.0,117.0,1436.0,61
95824,101300.0,104.0,1055.0,12
95825,188000.0,149.0,1402.0,12
95826,180500.0,148.0,1240.0,18
95827,170000.0,120.0,1520.0,9
95828,170000.0,110.0,1448.0,45
95829,240000.0,119.0,2170.0,11
95831,311518.0,177.0,1795.0,9
95832,163750.0,111.0,1301.0,12
95833,174250.0,130.0,1390.0,17
95834,232500.0,135.0,1601.0,17
95835,262250.0,141.0,1890.0,34
95838,130427.0,106.0,1225.0,36
95841,207000.0,132.0,1122.0,7
95842,152727.0,108.0,1116.0,22
95843,231200.0,138.0,1669.0,33
95864,315000.0,232.0,1360.0,5
